country,total_papers,total_citations,topic,name
Colombia,4,9,180754005,Allele
Colombia,2,0,181199279,Enzyme
Colombia,1,0,186060115,Biological system
Colombia,6,56,186413461,Genetic association
Colombia,3,8,189014844,Cell type
Colombia,6,16,189206191,Genomics
Colombia,18,133,193252679,Phylogenetic tree
Colombia,1,0,203014093,Immunology
Colombia,3,7,501734568,Mutation
Colombia,1,5,502942594,Cancer research
Colombia,2,0,522805319,Electroencephalography
Colombia,4,0,523546767,Bacteria
Colombia,6,18,1491633281,Cell
Colombia,2,11,2522874641,Virus
Colombia,1,0,2776214188,Inference
Colombia,1,132,2776460866,Pathogen
Colombia,2,0,2776878037,Zebrafish
Colombia,2,2,2777904410,Software
Colombia,8,29,2779134260,Disease
Colombia,50,855,2908647359,Population
Costa Rica,7,4,18903297,Ecology
Costa Rica,19,649,54355233,Genetics
Costa Rica,3,1,59822182,Botany
Costa Rica,2,0,60644358,Bioinformatics
Costa Rica,2,613,78458016,Evolutionary biology
Costa Rica,1,0,81941488,Quantitative trait locus
Costa Rica,1,0,84597430,Locus (genetics)
Costa Rica,25,651,86803240,Biology
Costa Rica,2,0,90856448,Zoology
Costa Rica,2,10,104317684,Gene
Costa Rica,2,6,141231307,Genome
Costa Rica,2,10,153209595,Single-nucleotide polymorphism
Costa Rica,1,0,180754005,Allele
Costa Rica,1,10,186413461,Genetic association
Costa Rica,1,0,203014093,Immunology
Costa Rica,1,0,523546767,Bacteria
Costa Rica,1,2,2776460866,Pathogen
Costa Rica,1,0,2779134260,Disease
Costa Rica,7,633,2908647359,Population
Côte d'Ivoire,1,4,54355233,Genetics
Côte d'Ivoire,3,34,60644358,Bioinformatics
Côte d'Ivoire,4,38,86803240,Biology
Côte d'Ivoire,1,4,89423630,Microbiology
Côte d'Ivoire,1,4,523546767,Bacteria
Croatia,1,2,7466232,Biomarker (medicine)
Croatia,3,1,8891405,Immune system
Croatia,2,27,11413529,Algorithm
Croatia,2,3,12554922,Biophysics
Croatia,1,16,15151743,Metagenomics
Croatia,5,107,15744967,Psychology
Croatia,3,211,18903297,Ecology
Croatia,1,2,24432333,Whole genome sequencing
Croatia,4,0,30481170,Chromosome
Croatia,9,232,41008148,Computer science
Croatia,4,6,51679486,DNA sequencing
Croatia,62,1001,54355233,Genetics
Croatia,2,4,55493867,Biochemistry
Croatia,1,6,59822182,Botany
Croatia,36,664,60644358,Bioinformatics
Croatia,2,0,67705224,RNA
Croatia,7,606,68873052,Genetic variation
Croatia,6,28,70721500,Computational biology
Croatia,1,264,71924100,Medicine
Croatia,1,16,73555534,Cluster analysis
Croatia,6,998,78458016,Evolutionary biology
Croatia,1,6,83640560,Chromatin
Croatia,21,134,84597430,Locus (genetics)
Croatia,1,3,86339819,Transcription factor
Croatia,95,1796,86803240,Biology
Croatia,1,36,89423630,Microbiology
Croatia,1,15,90132467,Phylogenetics
Croatia,6,21,95444343,Cell biology
Croatia,18,42,104317684,Gene
Croatia,2,10,105580179,Messenger RNA
Croatia,1,0,105702510,Anatomy
Croatia,1,15,105795698,Statistics
Croatia,17,388,106208931,Genome-wide association study
Croatia,2,7,106934330,Trait
Croatia,1,0,111936080,Enhancer
Croatia,1,0,119857082,Machine learning
Croatia,7,53,121608353,Cancer
Croatia,4,134,124101348,Data mining
Croatia,5,80,126322002,Internal medicine
Croatia,7,10,127716648,Phenotype
Croatia,1,0,134018914,Endocrinology
Croatia,3,7,135763542,Genotype
Croatia,21,919,141231307,Genome
Croatia,1,0,143065580,Mutant
Croatia,3,61,143121216,Microbiome
Croatia,7,23,153209595,Single-nucleotide polymorphism
Croatia,2,16,153911025,Molecular biology
Croatia,4,81,154945302,Artificial intelligence
Croatia,3,3,159047783,Virology
Croatia,3,10,162317418,Transcriptome
Croatia,1,0,169760540,Neuroscience
Croatia,1,5,169900460,Cognition
Croatia,1,0,170493617,Receptor
Croatia,3,81,178980831,Pattern recognition
Croatia,2,78,180747234,Cognitive psychology
Croatia,1,0,180754005,Allele
Croatia,1,0,181199279,Enzyme
Croatia,1,10,185592680,Chemistry
Croatia,9,280,186413461,Genetic association
Croatia,9,817,189206191,Genomics
Croatia,1,0,190727270,DNA methylation
Croatia,3,6,203014093,Immunology
Croatia,2,0,502942594,Cancer research
Croatia,2,3,552990157,DNA
Croatia,1,2,2522874641,Virus
Croatia,3,134,2777904410,Software
Croatia,6,8,2779134260,Disease
Croatia,16,1142,2908647359,Population
Cuba,1,4,11413529,Algorithm
Cuba,2,8,12554922,Biophysics
Cuba,6,8,54355233,Genetics
Cuba,5,3,60644358,Bioinformatics
Cuba,2,16,71924100,Medicine
Cuba,11,11,86803240,Biology
Cuba,1,0,147004232,Stimulus (physiology)
Cuba,1,0,154945302,Artificial intelligence
Cuba,1,0,178980831,Pattern recognition
Cuba,1,4,502942594,Cancer research
Cuba,3,4,522805319,Electroencephalography
Cuba,6,21,2908647359,Population
Cyprus,2,34,8891405,Immune system
Cyprus,2,2,11413529,Algorithm
Cyprus,8,126,15744967,Psychology
Cyprus,1,0,18903297,Ecology
Cyprus,1,0,28328180,Stem cell
Cyprus,1,2,29537977,Cell cycle
Cyprus,27,122,54355233,Genetics
Cyprus,1,0,55493867,Biochemistry
Cyprus,2,5,59822182,Botany
Cyprus,14,34,60644358,Bioinformatics
Cyprus,3,21,68873052,Genetic variation
Cyprus,2,5,70721500,Computational biology
Cyprus,2,3,71924100,Medicine
Cyprus,1,28,73555534,Cluster analysis
Cyprus,2,1,78458016,Evolutionary biology
Cyprus,2,0,81941488,Quantitative trait locus
Cyprus,2,19,83640560,Chromatin
Cyprus,2,4,84597430,Locus (genetics)
Cyprus,2,19,86339819,Transcription factor
Cyprus,43,106,86803240,Biology
Cyprus,1,0,89423630,Microbiology
Cyprus,1,0,95444343,Cell biology
Cyprus,6,36,104317684,Gene
Cyprus,4,7,106208931,Genome-wide association study
Cyprus,2,0,106934330,Trait
Cyprus,1,3,111936080,Enhancer
Cyprus,1,1,119857082,Machine learning
Cyprus,4,10,121608353,Cancer
Cyprus,5,9,126322002,Internal medicine
Cyprus,3,0,127716648,Phenotype
Cyprus,1,0,134018914,Endocrinology
Cyprus,1,1,135763542,Genotype
Cyprus,2,2,150194340,Gene expression
Cyprus,2,29,152662350,Systems biology
Cyprus,1,9,153209595,Single-nucleotide polymorphism
Cyprus,3,38,154945302,Artificial intelligence
Cyprus,4,50,162317418,Transcriptome
Cyprus,6,51,169760540,Neuroscience
Cyprus,3,39,169900460,Cognition
Cyprus,2,37,178980831,Pattern recognition
Cyprus,3,71,180747234,Cognitive psychology
Cyprus,1,0,186060115,Biological system
Cyprus,4,28,186413461,Genetic association
Cyprus,2,6,189206191,Genomics
Cyprus,1,1,501734568,Mutation
Cyprus,2,0,502942594,Cancer research
Cyprus,1,5,522805319,Electroencephalography
Cyprus,1,5,523546767,Bacteria
Cyprus,2,0,1491633281,Cell
Cyprus,1,0,2779134260,Disease
Cyprus,4,31,2908647359,Population
Czechia,2,8,7466232,Biomarker (medicine)
Czechia,10,54,8891405,Immune system
Czechia,15,28,12554922,Biophysics
Czechia,6,44,15151743,Metagenomics
Czechia,4,55,15744967,Psychology
Czechia,32,416,18903297,Ecology
Czechia,1,2,24432333,Whole genome sequencing
Czechia,5,22,24998067,Stimulation
Czechia,2,102,28328180,Stem cell
Czechia,4,0,29537977,Cell cycle
Czechia,16,297,30481170,Chromosome
Czechia,6,0,34601148,Transcription (biology)
Czechia,2,1,41008148,Computer science
Czechia,3,0,41091548,Epigenetics
Czechia,1,2,50644808,Artificial neural network
Czechia,8,53,51679486,DNA sequencing
Czechia,222,1768,54355233,Genetics
Czechia,19,113,55493867,Biochemistry
Czechia,4,1,59822182,Botany
Czechia,62,322,60644358,Bioinformatics
Czechia,8,7,67705224,RNA
Czechia,9,181,68873052,Genetic variation
Czechia,9,97,70721500,Computational biology
Czechia,9,319,71924100,Medicine
Czechia,3,191,73555534,Cluster analysis
Czechia,27,299,78458016,Evolutionary biology
Czechia,12,22,79879829,Intracellular
Czechia,6,535,81941488,Quantitative trait locus
Czechia,3,0,83640560,Chromatin
Czechia,19,140,84597430,Locus (genetics)
Czechia,9,201,86339819,Transcription factor
Czechia,336,2777,86803240,Biology
Czechia,5,8,89423630,Microbiology
Czechia,6,121,90132467,Phylogenetics
Czechia,15,59,90856448,Zoology
Czechia,1,0,94487597,Sensory system
Czechia,53,360,95444343,Cell biology
Czechia,2,3,96232424,Cancer cell
Czechia,1,0,98108389,CRISPR
Czechia,47,405,104317684,Gene
Czechia,2,10,105580179,Messenger RNA
Czechia,1,0,105702510,Anatomy
Czechia,3,1,105795698,Statistics
Czechia,10,555,106208931,Genome-wide association study
Czechia,1,3,106934330,Trait
Czechia,4,6,111936080,Enhancer
Czechia,4,10,119857082,Machine learning
Czechia,6,33,121608353,Cancer
Czechia,4,2,124101348,Data mining
Czechia,11,23,126322002,Internal medicine
Czechia,11,25,127716648,Phenotype
Czechia,5,2,134018914,Endocrinology
Czechia,5,15,135763542,Genotype
Czechia,41,254,141231307,Genome
Czechia,15,40,143065580,Mutant
Czechia,3,20,143121216,Microbiome
Czechia,4,1,147004232,Stimulus (physiology)
Czechia,10,6,150194340,Gene expression
Czechia,2,0,153209595,Single-nucleotide polymorphism
Czechia,13,177,153911025,Molecular biology
Czechia,7,12,154945302,Artificial intelligence
Czechia,4,33,159047783,Virology
Czechia,10,70,162317418,Transcriptome
Czechia,6,10,165864922,Regulation of gene expression
Czechia,4,32,169760540,Neuroscience
Czechia,4,41,169900460,Cognition
Czechia,3,2,170493617,Receptor
Czechia,3,10,178980831,Pattern recognition
Czechia,3,46,180747234,Cognitive psychology
Czechia,10,115,180754005,Allele
Czechia,6,34,181199279,Enzyme
Czechia,6,10,184235292,Kinase
Czechia,11,126,185592680,Chemistry
Czechia,3,0,186060115,Biological system
Czechia,5,320,186413461,Genetic association
Czechia,2,0,189014844,Cell type
Czechia,7,56,189206191,Genomics
Czechia,1,0,190727270,DNA methylation
Czechia,19,193,193252679,Phylogenetic tree
Czechia,8,29,203014093,Immunology
Czechia,6,106,207001950,In vivo
Czechia,6,4,501734568,Mutation
Czechia,12,23,502942594,Cancer research
Czechia,5,38,522805319,Electroencephalography
Czechia,2,15,523546767,Bacteria
Czechia,11,33,552990157,DNA
Czechia,14,44,1491633281,Cell
Czechia,3,14,2522874641,Virus
Czechia,3,193,2776214188,Inference
Czechia,5,6,2776460866,Pathogen
Czechia,4,46,2776878037,Zebrafish
Czechia,2,18,2777904410,Software
Czechia,5,7,2779134260,Disease
Czechia,2,2,2779345533,Visual cortex
Czechia,35,243,2908647359,Population
Democratic Republic of the Congo,1,0,18903297,Ecology
Democratic Republic of the Congo,1,0,24432333,Whole genome sequencing
Democratic Republic of the Congo,6,37,54355233,Genetics
Democratic Republic of the Congo,7,0,60644358,Bioinformatics
Democratic Republic of the Congo,1,36,68873052,Genetic variation
Democratic Republic of the Congo,1,0,71924100,Medicine
Democratic Republic of the Congo,1,0,78458016,Evolutionary biology
Democratic Republic of the Congo,2,36,84597430,Locus (genetics)
Democratic Republic of the Congo,14,39,86803240,Biology
Democratic Republic of the Congo,2,36,104317684,Gene
Democratic Republic of the Congo,3,0,126322002,Internal medicine
Democratic Republic of the Congo,2,36,127716648,Phenotype
Democratic Republic of the Congo,1,0,141231307,Genome
Democratic Republic of the Congo,2,36,180754005,Allele
Democratic Republic of the Congo,1,0,193252679,Phylogenetic tree
Democratic Republic of the Congo,1,2,203014093,Immunology
Democratic Republic of the Congo,3,0,2908647359,Population
Denmark,23,35,7466232,Biomarker (medicine)
Denmark,32,1178,8891405,Immune system
Denmark,19,200,11413529,Algorithm
Denmark,59,166,12554922,Biophysics
Denmark,46,1597,15151743,Metagenomics
Denmark,70,2815,15744967,Psychology
Denmark,109,1168,18903297,Ecology
Denmark,28,562,24432333,Whole genome sequencing
Denmark,15,44,24998067,Stimulation
Denmark,27,218,26760741,Perception
Denmark,12,31,28328180,Stem cell
Denmark,10,7,29537977,Cell cycle
Denmark,27,215,30481170,Chromosome
Denmark,38,1435,34601148,Transcription (biology)
Denmark,54,1201,41008148,Computer science
Denmark,30,569,41091548,Epigenetics
Denmark,6,164,50644808,Artificial neural network
Denmark,38,760,51679486,DNA sequencing
Denmark,1247,47667,54355233,Genetics
Denmark,90,1841,55493867,Biochemistry
Denmark,26,721,59822182,Botany
Denmark,489,20123,60644358,Bioinformatics
Denmark,13,56,62478195,Signal transduction
Denmark,43,1054,67705224,RNA
Denmark,46,1985,68873052,Genetic variation
Denmark,182,3315,70721500,Computational biology
Denmark,37,3133,71924100,Medicine
Denmark,21,802,73555534,Cluster analysis
Denmark,97,2309,78458016,Evolutionary biology
Denmark,4,0,79879829,Intracellular
Denmark,28,7491,81941488,Quantitative trait locus
Denmark,44,641,83640560,Chromatin
Denmark,110,10326,84597430,Locus (genetics)
Denmark,40,350,86339819,Transcription factor
Denmark,1837,57055,86803240,Biology
Denmark,55,537,89423630,Microbiology
Denmark,16,111,90132467,Phylogenetics
Denmark,15,56,90856448,Zoology
Denmark,16,501,94487597,Sensory system
Denmark,155,1046,95444343,Cell biology
Denmark,15,188,96232424,Cancer cell
Denmark,14,105,98108389,CRISPR
Denmark,263,8370,104317684,Gene
Denmark,27,335,105580179,Messenger RNA
Denmark,14,149,105702510,Anatomy
Denmark,38,264,105795698,Statistics
Denmark,138,26690,106208931,Genome-wide association study
Denmark,27,171,106934330,Trait
Denmark,21,502,111936080,Enhancer
Denmark,23,371,119857082,Machine learning
Denmark,50,953,121608353,Cancer
Denmark,35,897,124101348,Data mining
Denmark,70,754,126322002,Internal medicine
Denmark,79,3058,127716648,Phenotype
Denmark,37,545,134018914,Endocrinology
Denmark,43,1994,135763542,Genotype
Denmark,238,7606,141231307,Genome
Denmark,30,575,143065580,Mutant
Denmark,38,520,143121216,Microbiome
Denmark,22,112,147004232,Stimulus (physiology)
Denmark,55,890,150194340,Gene expression
Denmark,36,1584,152662350,Systems biology
Denmark,61,3001,153209595,Single-nucleotide polymorphism
Denmark,38,1008,153911025,Molecular biology
Denmark,67,1126,154945302,Artificial intelligence
Denmark,12,51,159047783,Virology
Denmark,93,1540,162317418,Transcriptome
Denmark,22,1005,165864922,Regulation of gene expression
Denmark,85,940,169760540,Neuroscience
Denmark,30,120,169900460,Cognition
Denmark,15,4,170493617,Receptor
Denmark,30,548,178980831,Pattern recognition
Denmark,40,630,180747234,Cognitive psychology
Denmark,67,2202,180754005,Allele
Denmark,20,76,181199279,Enzyme
Denmark,9,25,184235292,Kinase
Denmark,22,650,185592680,Chemistry
Denmark,20,186,186060115,Biological system
Denmark,88,6102,186413461,Genetic association
Denmark,33,791,189014844,Cell type
Denmark,107,2895,189206191,Genomics
Denmark,24,705,190727270,DNA methylation
Denmark,28,220,193252679,Phylogenetic tree
Denmark,18,619,203014093,Immunology
Denmark,28,275,207001950,In vivo
Denmark,41,738,501734568,Mutation
Denmark,33,123,502942594,Cancer research
Denmark,22,438,522805319,Electroencephalography
Denmark,52,368,523546767,Bacteria
Denmark,52,1135,552990157,DNA
Denmark,69,1971,1491633281,Cell
Denmark,7,28,2522874641,Virus
Denmark,31,2167,2776214188,Inference
Denmark,17,106,2776460866,Pathogen
Denmark,2,0,2776878037,Zebrafish
Denmark,29,1406,2777904410,Software
Denmark,74,5192,2779134260,Disease
Denmark,3,17,2779345533,Visual cortex
Denmark,9,185,2780104201,Drosophila melanogaster
Denmark,217,9374,2908647359,Population
Dominican Republic,4,1,54355233,Genetics
Dominican Republic,2,0,60644358,Bioinformatics
Dominican Republic,4,1,86803240,Biology
Dominican Republic,1,0,90856448,Zoology
Dominican Republic,2,0,106208931,Genome-wide association study
Dominican Republic,1,0,141231307,Genome
Dominican Republic,1,0,186413461,Genetic association
Dominican Republic,1,0,193252679,Phylogenetic tree
Dominican Republic,3,0,2908647359,Population
Ecuador,1,0,8891405,Immune system
Ecuador,1,0,15151743,Metagenomics
Ecuador,11,25,18903297,Ecology
Ecuador,1,0,24432333,Whole genome sequencing
Ecuador,1,0,28328180,Stem cell
Ecuador,1,6,30481170,Chromosome
Ecuador,30,26,54355233,Genetics
Ecuador,3,6,59822182,Botany
Ecuador,6,2,60644358,Bioinformatics
Ecuador,1,0,62478195,Signal transduction
Ecuador,1,0,70721500,Computational biology
Ecuador,1,14,71924100,Medicine
Ecuador,4,5,78458016,Evolutionary biology
Ecuador,48,80,86803240,Biology
Ecuador,2,0,89423630,Microbiology
Ecuador,2,7,90132467,Phylogenetics
Ecuador,3,0,95444343,Cell biology
Ecuador,5,12,104317684,Gene
Ecuador,1,0,119857082,Machine learning
Ecuador,1,0,126322002,Internal medicine
Ecuador,7,19,141231307,Genome
Ecuador,1,0,154945302,Artificial intelligence
Ecuador,2,19,159047783,Virology
Ecuador,1,1,180754005,Allele
Ecuador,1,0,189014844,Cell type
Ecuador,2,13,189206191,Genomics
Ecuador,7,4,193252679,Phylogenetic tree
Ecuador,3,8,203014093,Immunology
Ecuador,2,0,523546767,Bacteria
Ecuador,5,16,2522874641,Virus
Ecuador,1,0,2776878037,Zebrafish
Ecuador,3,8,2779134260,Disease
Ecuador,1,0,2780104201,Drosophila melanogaster
Ecuador,10,55,2908647359,Population
Egypt,1,0,7466232,Biomarker (medicine)
Egypt,3,2,8891405,Immune system
Egypt,1,0,15151743,Metagenomics
Egypt,1,0,15744967,Psychology
Egypt,1,0,18903297,Ecology
Egypt,1,0,24432333,Whole genome sequencing
Egypt,1,4,28328180,Stem cell
Egypt,1,0,29537977,Cell cycle
Egypt,2,1,41008148,Computer science
Egypt,2,1,50644808,Artificial neural network
Egypt,5,13,51679486,DNA sequencing
Egypt,43,38,54355233,Genetics
Egypt,3,9,55493867,Biochemistry
Egypt,5,11,59822182,Botany
Egypt,26,25,60644358,Bioinformatics
Egypt,2,0,62478195,Signal transduction
Egypt,3,0,67705224,RNA
Egypt,3,8,68873052,Genetic variation
Egypt,6,10,70721500,Computational biology
Egypt,1,0,71924100,Medicine
Egypt,3,8,78458016,Evolutionary biology
Egypt,1,0,81941488,Quantitative trait locus
Egypt,1,8,83640560,Chromatin
Egypt,3,11,84597430,Locus (genetics)
Egypt,80,106,86803240,Biology
Egypt,6,5,89423630,Microbiology
Egypt,2,1,94487597,Sensory system
Egypt,9,11,95444343,Cell biology
Egypt,1,0,98108389,CRISPR
Egypt,7,11,104317684,Gene
Egypt,1,0,105580179,Messenger RNA
Egypt,1,0,105702510,Anatomy
Egypt,3,17,106208931,Genome-wide association study
Egypt,1,0,119857082,Machine learning
Egypt,2,0,121608353,Cancer
Egypt,6,0,126322002,Internal medicine
Egypt,1,0,127716648,Phenotype
Egypt,5,0,134018914,Endocrinology
Egypt,9,21,141231307,Genome
Egypt,6,17,143121216,Microbiome
Egypt,1,0,150194340,Gene expression
Egypt,2,0,152662350,Systems biology
Egypt,2,8,153209595,Single-nucleotide polymorphism
Egypt,5,7,153911025,Molecular biology
Egypt,3,0,154945302,Artificial intelligence
Egypt,3,0,159047783,Virology
Egypt,4,11,162317418,Transcriptome
Egypt,1,0,165864922,Regulation of gene expression
Egypt,4,9,169760540,Neuroscience
Egypt,1,0,170493617,Receptor
Egypt,1,0,178980831,Pattern recognition
Egypt,2,8,180754005,Allele
Egypt,1,0,181199279,Enzyme
Egypt,1,0,185592680,Chemistry
Egypt,1,0,186413461,Genetic association
Egypt,4,11,189206191,Genomics
Egypt,5,14,203014093,Immunology
Egypt,2,0,207001950,In vivo
Egypt,1,0,502942594,Cancer research
Egypt,4,0,523546767,Bacteria
Egypt,1,0,552990157,DNA
Egypt,3,4,1491633281,Cell
Egypt,4,7,2522874641,Virus
Egypt,6,17,2779134260,Disease
Egypt,6,0,2908647359,Population
El Salvador,1,0,55493867,Biochemistry
El Salvador,1,0,86803240,Biology
Estonia,12,60,7466232,Biomarker (medicine)
Estonia,9,7,8891405,Immune system
Estonia,2,0,12554922,Biophysics
Estonia,4,27,15151743,Metagenomics
Estonia,14,592,15744967,Psychology
Estonia,4,27,18903297,Ecology
Estonia,7,22,24432333,Whole genome sequencing
Estonia,8,56,26760741,Perception
Estonia,1,0,29537977,Cell cycle
Estonia,1,0,30481170,Chromosome
Estonia,6,43,34601148,Transcription (biology)
Estonia,1,0,41008148,Computer science
Estonia,2,9,41091548,Epigenetics
Estonia,5,526,50644808,Artificial neural network
Estonia,11,148,51679486,DNA sequencing
Estonia,223,13572,54355233,Genetics
Estonia,10,89,55493867,Biochemistry
Estonia,95,3791,60644358,Bioinformatics
Estonia,1,0,62478195,Signal transduction
Estonia,5,60,67705224,RNA
Estonia,21,296,68873052,Genetic variation
Estonia,17,450,70721500,Computational biology
Estonia,10,1088,71924100,Medicine
Estonia,1,7,73555534,Cluster analysis
Estonia,23,4483,78458016,Evolutionary biology
Estonia,2,0,79879829,Intracellular
Estonia,18,2235,81941488,Quantitative trait locus
Estonia,5,55,83640560,Chromatin
Estonia,54,3306,84597430,Locus (genetics)
Estonia,3,3,86339819,Transcription factor
Estonia,294,13903,86803240,Biology
Estonia,1,0,89423630,Microbiology
Estonia,3,13,90132467,Phylogenetics
Estonia,3,0,90856448,Zoology
Estonia,2,0,94487597,Sensory system
Estonia,17,59,95444343,Cell biology
Estonia,2,30,96232424,Cancer cell
Estonia,3,11,98108389,CRISPR
Estonia,45,659,104317684,Gene
Estonia,2,55,105580179,Messenger RNA
Estonia,4,19,105795698,Statistics
Estonia,65,7258,106208931,Genome-wide association study
Estonia,12,569,106934330,Trait
Estonia,2,198,111936080,Enhancer
Estonia,2,19,119857082,Machine learning
Estonia,5,29,121608353,Cancer
Estonia,1,0,124101348,Data mining
Estonia,23,74,126322002,Internal medicine
Estonia,21,323,127716648,Phenotype
Estonia,9,45,134018914,Endocrinology
Estonia,16,346,135763542,Genotype
Estonia,36,345,141231307,Genome
Estonia,5,16,143065580,Mutant
Estonia,4,52,147004232,Stimulus (physiology)
Estonia,13,86,150194340,Gene expression
Estonia,26,2085,153209595,Single-nucleotide polymorphism
Estonia,3,41,153911025,Molecular biology
Estonia,12,135,154945302,Artificial intelligence
Estonia,2,1,159047783,Virology
Estonia,12,315,162317418,Transcriptome
Estonia,6,546,165864922,Regulation of gene expression
Estonia,8,486,169760540,Neuroscience
Estonia,6,3,169900460,Cognition
Estonia,1,0,170493617,Receptor
Estonia,5,104,178980831,Pattern recognition
Estonia,8,312,180747234,Cognitive psychology
Estonia,11,226,180754005,Allele
Estonia,1,0,181199279,Enzyme
Estonia,1,2,184235292,Kinase
Estonia,5,9,185592680,Chemistry
Estonia,41,1982,186413461,Genetic association
Estonia,7,541,189014844,Cell type
Estonia,20,496,189206191,Genomics
Estonia,4,17,190727270,DNA methylation
Estonia,4,13,193252679,Phylogenetic tree
Estonia,3,4,203014093,Immunology
Estonia,1,0,207001950,In vivo
Estonia,5,14,501734568,Mutation
Estonia,4,32,502942594,Cancer research
Estonia,1,4,522805319,Electroencephalography
Estonia,6,33,523546767,Bacteria
Estonia,5,64,552990157,DNA
Estonia,3,11,1491633281,Cell
Estonia,2,1,2522874641,Virus
Estonia,2,401,2776214188,Inference
Estonia,1,0,2777904410,Software
Estonia,41,1541,2779134260,Disease
Estonia,1,18,2779345533,Visual cortex
Estonia,2,0,2780104201,Drosophila melanogaster
Estonia,68,5241,2908647359,Population
Ethiopia,1,1,7466232,Biomarker (medicine)
Ethiopia,3,7,15744967,Psychology
Ethiopia,2,0,18903297,Ecology
Ethiopia,3,0,24432333,Whole genome sequencing
Ethiopia,2,3,51679486,DNA sequencing
Ethiopia,32,620,54355233,Genetics
Ethiopia,1,0,55493867,Biochemistry
Ethiopia,48,1,60644358,Bioinformatics
Ethiopia,2,2,68873052,Genetic variation
Ethiopia,6,12,71924100,Medicine
Ethiopia,4,613,78458016,Evolutionary biology
Ethiopia,1,2,84597430,Locus (genetics)
Ethiopia,89,633,86803240,Biology
Ethiopia,4,1,89423630,Microbiology
Ethiopia,1,0,90132467,Phylogenetics
Ethiopia,1,1,90856448,Zoology
Ethiopia,2,0,104317684,Gene
Ethiopia,2,0,105702510,Anatomy
Ethiopia,1,0,105795698,Statistics
Ethiopia,1,0,106208931,Genome-wide association study
Ethiopia,1,0,106934330,Trait
Ethiopia,2,0,121608353,Cancer
Ethiopia,3,0,126322002,Internal medicine
Ethiopia,1,2,135763542,Genotype
Ethiopia,2,6,141231307,Genome
Ethiopia,1,0,152662350,Systems biology
Ethiopia,5,14,159047783,Virology
Ethiopia,1,0,162317418,Transcriptome
Ethiopia,1,0,180754005,Allele
Ethiopia,1,5,185592680,Chemistry
Ethiopia,1,0,186413461,Genetic association
Ethiopia,2,0,193252679,Phylogenetic tree
Ethiopia,1,0,203014093,Immunology
Ethiopia,4,9,523546767,Bacteria
Ethiopia,1,3,2522874641,Virus
Ethiopia,1,0,2776460866,Pathogen
Ethiopia,6,3,2779134260,Disease
Ethiopia,12,607,2908647359,Population
Faroe Islands,2,5,54355233,Genetics
Faroe Islands,1,4,84597430,Locus (genetics)
Faroe Islands,2,5,86803240,Biology
Faroe Islands,2,5,104317684,Gene
Fiji,1,0,18903297,Ecology
Fiji,2,1,24432333,Whole genome sequencing
Fiji,2,12,30481170,Chromosome
Fiji,1,3,41008148,Computer science
Fiji,9,21,54355233,Genetics
Fiji,1,3,60644358,Bioinformatics
Fiji,2,1,84597430,Locus (genetics)
Fiji,11,24,86803240,Biology
Fiji,2,1,104317684,Gene
Fiji,2,3,119857082,Machine learning
Fiji,2,12,141231307,Genome
Fiji,2,3,154945302,Artificial intelligence
Fiji,1,12,180754005,Allele
Fiji,1,3,184235292,Kinase
Fiji,1,6,2779134260,Disease
Fiji,3,8,2908647359,Population
Finland,25,1111,7466232,Biomarker (medicine)
Finland,30,157,8891405,Immune system
Finland,7,31,11413529,Algorithm
Finland,27,208,12554922,Biophysics
Finland,10,89,15151743,Metagenomics
Finland,32,1059,15744967,Psychology
Finland,71,790,18903297,Ecology
Finland,25,208,24432333,Whole genome sequencing
Finland,4,3,24998067,Stimulation
Finland,14,87,26760741,Perception
Finland,5,174,28328180,Stem cell
Finland,6,92,29537977,Cell cycle
Finland,14,62,30481170,Chromosome
Finland,19,165,34601148,Transcription (biology)
Finland,47,8168,41008148,Computer science
Finland,25,235,41091548,Epigenetics
Finland,7,85,50644808,Artificial neural network
Finland,33,29478,51679486,DNA sequencing
Finland,787,63899,54355233,Genetics
Finland,38,222,55493867,Biochemistry
Finland,13,132,59822182,Botany
Finland,369,25989,60644358,Bioinformatics
Finland,4,3,62478195,Signal transduction
Finland,24,402,67705224,RNA
Finland,45,24359,68873052,Genetic variation
Finland,81,1066,70721500,Computational biology
Finland,28,6378,71924100,Medicine
Finland,9,66,73555534,Cluster analysis
Finland,62,2377,78458016,Evolutionary biology
Finland,4,0,79879829,Intracellular
Finland,38,8819,81941488,Quantitative trait locus
Finland,26,377,83640560,Chromatin
Finland,110,8408,84597430,Locus (genetics)
Finland,32,469,86339819,Transcription factor
Finland,1186,68039,86803240,Biology
Finland,13,2,89423630,Microbiology
Finland,8,43,90132467,Phylogenetics
Finland,23,87,90856448,Zoology
Finland,9,21,94487597,Sensory system
Finland,128,973,95444343,Cell biology
Finland,15,262,96232424,Cancer cell
Finland,14,227,98108389,CRISPR
Finland,181,29559,104317684,Gene
Finland,7,32,105580179,Messenger RNA
Finland,4,13,105702510,Anatomy
Finland,22,1279,105795698,Statistics
Finland,122,23229,106208931,Genome-wide association study
Finland,26,908,106934330,Trait
Finland,14,89,111936080,Enhancer
Finland,23,82,119857082,Machine learning
Finland,32,495,121608353,Cancer
Finland,29,8044,124101348,Data mining
Finland,66,1443,126322002,Internal medicine
Finland,71,5046,127716648,Phenotype
Finland,38,442,134018914,Endocrinology
Finland,42,7059,135763542,Genotype
