name,id,level,parents,children
Carboxyfluorescein diacetate succinimidyl ester,2780620174,4,553184892,
Macroparasite,116914575,3,165901193|71928629|2908647359,
Peptide substrate,2993518876,3,181199279|161790260|119924469|11960822|184235292|2779281246,
Histone phosphorylation,2909373314,5,56428682,
Acrocephalus,2779636034,2,90856448|18903297|59822182,""
Stem cell fate,2993790575,4,28328180|148738053,""
TRPV2,189769705,5,160145004|155164980,
Public forum,2994435206,2,199539241|39549134|3116431,
Ict skills,2983526771,3,67363961,
Aether,25587389,2,33332235|178790620|74650414,""
Radical empiricism,2779150400,2,111472728|36289849,
Cucumber green mottle mosaic virus,2779292858,5,2778786252,
Biomass composition,2992361139,3,2779371384|169260993,
Hand-pollination,2779316655,4,2993187780|102789151,
Mobile phone radiation and health,121143604,4,2778707766,
Front line,2781403576,2,199539241|166957645,
Saccharina latissima,2780170383,4,2776705890,
Rana arvalis,2909897558,4,2781130464,
Cation diffusion facilitator,2777000081,4,57581600|149011108|63645605|143065580|200082930,
Association tests,2909655500,5,153209595|186413461,
Normal-inverse Gaussian distribution,202021718,5,51267290,
Flower formation,2908975391,2,6557445|59822182|144027150,""
Chilo,2776474206,5,"",
Rugosity,2777177297,2,78519656|18903297|151730666,
Crown group,105187831,5,44465124,
Universal code,197294415,5,2400350,
Virtual representation,95743889,2,44154836|107457646|31972630,
Inter-domain,5111613,4,"",""
Chondrocyte hypertrophy,2908795476,5,35496256,
Butterfly wing,2994129708,3,2778605236|97257150,""
Blood stream,2993831823,3,555293320,
Orbiter,2776481522,3,83260615,""
Electrical shock,2909601034,2,119599485,
TRPM,200556516,5,155164980,
Signaling system,2985052114,2,134018914|55493867|95444343,""
Criollo tobacco,81835627,2,2549261|59822182|15708023,""
Ground truth annotation,2994468285,3,2776321320|146849305|89600930,
Cellular functions,2994055045,3,1491633281|104317684,
Scratch reflex,2779180984,4,51738704|24998067|83974742,
Early Cancer Detection,2910960421,4,7466232|121608353,
Gene gain,2993533805,5,92938381,
Digital agriculture,2993813565,3,118518473,
Hippocampal plasticity,2992616941,5,2776464000,
Virtual research environment,2778730959,2,107457646|136764020|2522767166,
Computer monitor,2777126821,2,9390403|121684516|31972630,
Psathyrostachys juncea,2780954717,3,46757340|2779370140,""
Secretin receptor,2778040292,5,2778677841,
Mixed emotions,2993743751,2,138496976|180747234|77805123,
Dumbbell,2776546559,2,1862650|42407357,""
HIV diagnosis,2910823671,4,2993143319,
Linguistic system,2778713422,2,41895202|46312422|204321447,
Facial aging,2993524266,2,29694066|141071460|105702510,
Cercopagis pengoi,2776426471,4,158278297,
Monocyte differentiation,2910925914,4,127716648|148738053|2781184567,
Edge device,138236772,2,76155785|31258907|120314980,
Theory of Forms,193656293,2,111472728,""
Region proposal,2994003090,4,108583219,
Hydrotrope,2778326797,3,169260993|58226133|184651966,""
Conservation Plan,2776248522,3,185933670,
Gage factor,2993776072,3,46585869|61656845,
Basic Linear Algebra Subprograms,163297316,4,17349429|139352143,
Scathophagidae,2778069655,2,90856448|18903297|59822182,""
Connected health,2779676829,3,160735492,
Semiquantitative analysis,2993821660,2,141071460|126838900|142724271,
AXIN1,203931614,5,30145163,
Ecosystem carbon,2992840545,4,6939412,
Counterconditioning,29294949,3,147004232|60359462,
Ostrinia,2777716713,5,"",
Subject analysis,2992098977,2,136764020|23123220|161191863,
Curve analysis,2991775710,4,58471807,
Proliferation Marker,2909546088,4,204232928|121608353|62112901,
Dasypyrum villosum,2779771316,4,30481170|141231307,""
Double threshold,2987320418,2,11413529|24326235|178980831,
Plant variety,2994522381,2,6557445|59822182|144027150,
ParM,60854295,2,54355233|153911025|15708023,
Gait asymmetry,2992079571,4,518460624|173906292,
Optic stalk,2776777558,4,145103041|2777093970|2780827179|2780837183,
Dimethyltryptamine,2910132018,5,2775864247,
Protein similarity,2992581399,3,47701112|104317684,
Interaction paradigm,2992456006,2,49774154|44154836|107457646,
Human behavior,117035363,2,19165224|77805123|44154836,
Eupatilin,2781134617,3,555293320|2777389444,
Biofilm growth,2991794481,4,58123911,
Behavioral epigenetics,81211395,5,190727270,
Pragmatic theory of truth,197199266,2,111472728|41895202|77805123,""
Local configuration,2994063903,2,31258907,
Transitive reduction,129691609,5,203776342,
EMG amplitude,2910971665,4,2777515770|163415756|103486182,
Destructive sampling,2992870501,3,2779371384|90842384,
Bookmarking,176504155,2,49774154|136764020|23123220,
ANKK1,2781116522,5,139275648|137183658|44208683|153209595,
Daemon,2777253204,2,79403827|31258907|111919701,""
Global workforce,2776648339,3,2778139618,
Protease digestion,2994395126,3,181199279,
Equilibrative nucleoside transporter 2,158916742,5,"",
Heterokont,2776802727,5,93829228,
Confuciusornis,2776015834,4,18623554|2776837868|202783661,""
Native structure,2992456305,2,8010536|153911025|55493867,
Point of no return,2778689087,2,199539241|111368507,
Myeloproliferation,2909647088,5,201750760|2780076729,
WIPI,2780179210,4,"",
SLC30A8,2780759615,5,153209595|186413461,
Knowledge gain,2994458989,2,19417346|509550671,
Virescence,2780760702,2,18903297|59822182|144027150,
Durability testing,2991826887,3,104304963,
Cognitive variables,2993561026,3,169900460,
Rhombic lip,2781401970,5,201750760|2777075493,
STIM2,2779278690,5,162740809|201571599,
Periostracum,165595923,4,188947578,""
Oncomir,39845236,5,555283112|179185449,
Cannabinoid receptor type 1,119999709,5,2778938600|2776885963|2780871563|46721173|148001335,
Clock model,2993738487,2,121864883|26873012|62520636,
Full order,2993608500,3,74193616|79699506,
Tetrapleura tetraptera,2778942746,2,55493867|59822182|556039675,""
Chromosome differentiation,2993876003,5,53226629,
Diaspore (botany),82265743,4,184932067,
Fish embryo,2991713466,5,2780384893,
Left prefrontal cortex,2908591376,4,2781195155,
Direct transformation,2993056859,2,179104552|178790620,
Unordered pair,54373215,2,118615104|11413529|114614502,
Dysferlinopathy,2779534886,5,"",
Haematoxylin,2776919888,4,204232928|2779751288,""
Cell wall modification,2910176924,5,162317418,
Biomass degradation,2994108000,4,53991642|141603559,
Devil facial tumour disease,2776235478,5,2910798666,
Test article,2992211607,2,78519656|66938386|44154836,
Triclinic crystal system,42228675,3,85551212|115624301|181819025|32909587|207114421|57401468,""
Synaptic vesicle cycle,2910471808,5,2776219046|175969161|200170125|28005876|148785051,
Tag system,75003639,2,9390403|136764020|23123220,
Common gamma chain,98654944,5,116016267|187316574,
Continuous interaction,2987476286,2,,
Colposcope,2910426099,5,2778220009|2777740455,
Incidental catch,2778867918,4,149340888,
Muscle stress,2992307798,2,1862650|141071460|105702510,
Somatic recombination,2777958735,4,30481170|84597430|134305767,
Mallotus,2780405258,3,188382862,""
Neurotropic virus,2778529815,4,529278444|2779134260,
Barrier-to-autointegration factor,2780663909,5,29512474|94966510|65871279,
Tryptophol,2780906582,4,2776706248,
Brain Hemisphere,2909586406,2,138496976|169760540|105702510,
Structural variant,2909347223,3,104317684,
Leptopilina,2780462519,5,2777379243,
Nemertodermatida,2778589914,5,2777738586|44465124|2781213061,
Borrelia turicatae,2777487820,5,2780508971|2910969103,
Monaural,102894143,2,24890656|28490314|548259974,""
Cytokine Activation,2911117534,4,2776914184|2778690821|17991360,
Perceived cost,2991780813,2,162853370|77805123,
Phylogenetic Pattern,2910793364,5,44465124,
Affective dysregulation,2993603201,3,3769349|2780600973,
Pneumococcal surface protein A,2910329766,5,2993175405|2776152631,
RRNA transcription,2909739870,5,183873130|88478588,
Bioregion,2778371126,3,185933670,
Linear summation,2993042924,2,105702510|169760540|46312422,
Platygyra daedalea,2909428969,5,"",
Signal routing,2989347536,2,9390403|24326235|119599485,
Phenol extraction,135650642,4,67705224,""
Actinonin,2776316462,3,501593827|181199279,""
Premature Beats,2910752263,3,555293320,""
K-ary tree,100560664,3,163797641|101056560|140745168|132525143|197855036,19236435
Flight pattern,2993520337,2,18903297|44154836|59822182,
Abax parallelepipedus,2781305313,5,2777512611,
Carbohydrate degradation,2910539035,4,2778977261,
LEAPS,2777705401,2,10138342,
Serotonin 1B Receptor,2908941668,5,2775864247,
Exposed Population,2911056733,3,2908647359,""
SIR proteins,2777304648,5,190414344|94966510|2992884146|84772758|2910135453|177336024|103435993|198348125,
Mass evacuation,2992422466,2,44154836|42475967,
Sensory channel,2992971706,3,147004232|26760741|156996364|94487597,
Virus maturation,2908620032,4,140704245|202878990,
Sequence Ontology,2776814858,5,22550185,
Dolichos,2777948272,2,6557445|59822182|144027150,""
Isobutyl acetate,2776693535,4,2779858419,
Isoetes echinospora,2909999472,2,18903297|59822182|144027150,
Snakehead,2779502808,2,18903297|31903555|505870484,2910119365
High level interface,2992972652,2,79403827|120314980|111919701,
Chemical ablation,2908746359,3,555293320|2778902805,
Color effect,2993096518,2,159985019|120665830,
SETD2,178658977,4,121608353|501734568|2779134260|64927066|41091548,""
TRNA binding,2911130316,5,153957851|88478588,
Caecilian,2777373048,3,2781465898,""
Conjunctival hyperemia,2909877133,5,2781092963,
Rucaparib,2780254266,5,2780427987|182979987|134935766,
Amphimedon queenslandica,2778243980,5,2779855849,
Histone fold,2780533102,5,56428682|84772758,
Loop network,2994320545,3,40827391,
Dynamic population,2993049062,3,2908647359,
SIM1,2777538549,3,555293320|104317684,
Stochastic process model,2992054759,3,8272713,
Dieticians,2909011554,3,555293320|160735492,
Metastatic lesions,2992689245,5,2779013556,
Beck Hopelessness Scale,2778701351,5,2779631380,
Chromosome Arm,2909119756,4,30481170|84597430,
Angular rotation,2992508067,2,78519656|24890656|120665830,
Microtubule polymerization,2909009945,5,84425145,
Volunteer's dilemma,117713711,3,187206662|177142836|2778496695|2776768635|162222271,
Potamotrygon,2778641588,3,2779427562,2776943734
Minimal supervision,2910651640,2,119857082|178980831,
Demand learning,2992623330,3,195487862,
Longissimus Thoracis,2909736353,3,22140971|2780003869,
Syllabic verse,194051139,3,109089402,""
Survival Status,2908635423,3,555293320,
Shape formation,2984610420,2,159985019,
Paraspeckles,2910750971,5,41282012|62203573,
Liver rupture,2908565595,3,555293320,
Analog recording,2778776004,3,"",
DNA Endonuclease,2910671568,4,67705224|2777028655,2909387123
Vicarious Reinforcement,2908912794,4,102483320,
Neocallimastigomycota,2777586943,4,113735248|70262065|91066513|90132467,""
Scaphirhynchus platorynchus,2908897288,3,2777784394|185933670|2908647359,
Clostridium innocuum,2778935786,4,2908643440|2776607351|2781092032,
Nidopallium,2780018806,5,2779715522,
Kavalactone,2776242410,5,2910602578,
Competitive fitness,2994190406,4,143065580,
Focal animal,2993817698,3,90842384,
CCL7,13164669,5,13373296,
Oblique illumination,2910188031,2,24890656|49040817|120665830,
Lamna,2780927991,3,"",2909871854
ABCE1,2778275389,5,88478588,
Booby,2776911869,2,90856448|18903297|505870484,2908801755
Local covariance,2993077496,4,178650346,
Estrogen binding,2908733782,5,2777164284,
Reducing emissions from deforestation and forest degradation,2778405918,4,83864248|139496715|2994081031,
Task adaptation,2911190626,2,28490314|44154836|178980831,
Unit resolution,2992409167,3,145148216|162356407,
Lithobates,2777780610,5,2776020765,
Telomeric heterochromatin,2908770635,5,177336024|103435993,
Viewport,2778090530,2,121684516|111919701|31972630,
Semantic facilitation,2909961746,4,2987487971|126398093,
Bupropion hydrochloride,2909952538,5,2779908668,
Ancylus fluviatilis,2780155269,4,2780252984,""
Hypoxia altitude simulation test,2909549885,5,2992779976,
Neuroscience Information Framework,142239482,3,205427263,""
Preferential distribution,2993166625,2,153911025|55493867|105702510,
Allelic ratio,2994185676,4,501734568|2778729363|180754005,
Human decision,2993526605,2,119857082|539667460|154945302,
Terminal web,2779930766,5,5426402,
Cytoplasmic determinant,9695501,4,190062978|87073359,
Salinispora arenicola,2779745911,5,2778169975,
Gomphocerinae,2778862560,5,"",
Ectodysplasin A,2776433152,5,2777230673,
Protein combining,99818978,5,188082640,
Applications of nanotechnology,85362591,4,138631740,""
Ethanolamide,2777463809,5,46721173|148001335,
Brosimum,2779097073,3,2780255822,2778808380
Protomer,158991165,3,2779546866|115624301|181199279,
Precipitation water,2994221530,3,107054158,
Microtubule sliding,2909408228,5,106987784|59006786|24870808,
Lagenaria,2777359373,4,32236832|2777130178,
Enterocyte differentiation,2911081048,4,2779604457|66090201|148738053,
Capoeta,2777823947,3,2779814588,
Myotis emarginatus,2910234963,3,2910277184,
Silicon microstructures,2993174120,4,136525101,
Antiviral antibody,2910969529,3,2522874641|159654299|8891405|147483822,
Drosophila grimshawi,2909171923,5,2777379243,
Calcium ascorbate,2777519526,4,2986274086,
Streptomyces ghanaensis,2909876403,4,22744801|553450214|2779920670,
Functional implication,2994409429,3,104317684,
Coriander Oil,2910103189,4,"",
Garrulus,2781195594,2,90856448|18903297|59822182,""
Late protein,2777499694,4,143065580|140704245,
Neuronal transport,2910018249,4,70192387,
Catostomus latipinnis,2777050735,4,2776802867,
Schwann cell migration,2908984043,4,2777004073|2781149210,
Host cell surface,2911108486,4,170493617,
Normal bone,2991826098,4,2780007613,
Convergent cross mapping,23222343,4,129824826,
POLR2A,2777686509,5,64350747,
Electrode montage,2994201195,5,2777803708,
UBA1,2779228609,5,203522944,
Signature matrix,2780733946,3,137127113,
Lesion Identification,2910744802,4,2781156865,
Syntaxin 17,2909565045,5,203522944,
Mrna gene expression,2992379450,5,2993383526,
Qualitative observation,2909987115,2,,
Native apps,2992345883,3,118643609|557433098|186967261|2988145974,
Automated technique,2910720831,2,11413529|31972630,
Cell Energetics,2909862069,4,62231903,
User confidence,2992287662,2,38652104|44154836|136764020,
Underdominance,199293617,5,151913843,
Glomerales,2780028495,5,2778464884,
Sporophila,2777368525,2,90856448|18903297|15708023,""
MST1R,2776575667,5,101544691,
Eukaryotic Small Ribosomal Subunit,301363,4,67905577,2779687153|2910214578|2780353596|2778594853
GRIA1,2779544924,5,2780648746,
Cypripedioideae,2778453631,4,90132467|50929876,""
MAP3K1,2776422882,5,530470458|153209595,
Coelophysis,2778775243,3,71640776,
Mass spectrometry data format,14471711,4,104397665,
Endopeptidase activity,2909502041,4,2777774944,
CFLAR,40958739,5,31573885,
PI4KB,2778810281,5,119062480,
Neuron response,2994090589,4,24998067,
Physiological values,2909885353,2,134018914|55493867|141071460,
MSMB,2778745985,5,2776235491|2780192828|153209595,
ASTROTACTIN,2908660519,5,2780884517,
IKBKE,75157042,5,2777730290,
Unenlagiinae,2778186086,5,2780184006,
Hormone Responsive,2908724390,5,530470458,
Lung congestion,2910106714,4,2777714996|2778198053,
Lycaeides melissa,2781313069,5,"",
MYF6,2777657788,5,3763915,
Mechanical fragility,2909876628,3,555293320,
Margaric Acid,2908631975,5,2779936771|2780809830|2993474839,
Delay Duration,2911139812,2,79403827,
Atriplex polycarpa,2909811811,4,"",
Meditative states,2909645261,3,186720457|521822307|169900460|522805319,
Fluorescence loss in photobleaching,116242781,5,36038061,
Rustica,2776193657,2,90856448|18903297|15708023,""
Disparate system,19443361,2,77088390|124101348|2522767166,
Human phenotype,2992526183,4,501734568|127716648|2779134260,
HSP90AB1,2778097638,4,205260736|121608353|150194340,
DNA Resequencing,2908960478,5,153209595,
Vesicle-associated membrane protein 8,146033667,4,144647389,83713313|52789158|23604748|6916431|92867888|166003730|150709267|2853687
Human herpes,2992381551,4,2779134260,
Aquaculture of coral,143837700,3,77044568|79367842|110872660|143020374,""
ULBP1,2779229100,5,129374314,
Portable EEG,2909612483,3,17525397|522805319,
Squamosa promoter binding protein,2780947259,5,2775988993|2779491563,
Global glomerulosclerosis,2910478553,5,2780368995|2778653478|2781184683|2781087799|2779561371,
SAP30,45946802,5,150425827|56428682|101152365|50171091|84772758|165864922,
Ciliary rootlet,2908921010,5,48342290,
Anaxyrus,2776856164,4,2777836633,""
Multikernel,2779167246,3,12267149|99018454,
Isoflavonoid biosynthesis,2911174451,5,2776559899|2778379183,
SLC47A1,2780002494,5,2780323712|112705442|189613389,
Embarrassingly parallel,126909462,3,120373497|45374587|106515295|190475519,
Montium subgroup,2910111688,5,2776998849|2777379243,
Suprarenal Aorta,2910782365,5,2779993416|2780520971,
Cover-abundance,135959342,4,53002841,
Streptococcus pseudopneumoniae,2777802897,5,2777480049|2781381541,
Shiga toxin-producing Escherichia coli O157,2909529079,5,2778411228|116675565|2778910516,
Lipid bilayer mechanics,85145957,5,76564549,
Synthetic cannabinoid receptor agonist,2910464575,5,2778938600|2780871563|148001335,
Viral Gene Products,2911082663,4,141231307|150194340|140704245,
Whole food,2909641344,2,31903555,
Ferrichrome transport,2910878847,5,168707992|146587185|2778910516,
Albuneidae,2777986175,5,"",
Disrupted sleep,2910934258,4,1513209611,
Spruce Tree,2908574117,4,2777427081,
RRNA degradation,2910906500,5,10879258|88478588,
Herennia,2776692135,5,44465124,
Epithelial Metaplasia,2909172104,4,529295009|2779357193,
Massospora cicadina,2776293520,5,2780882996,
External blind,2909083865,2,78519656|24890656|66938386,
Cytoplasmic hybrid,2778583846,4,190062978|2779134260|28859421|24586158,
Koelreuteria elegans,2778277531,5,"",
Ovine species,2910827488,2,153911025|134018914|203014093,
Root meristem growth,2908619561,5,2775988993|2779491563,
Barnadesia,2776840708,4,18623554|90132467|50929876|193252679,""
Epiperipatus,2778863181,4,2780343724,""
Membrane repolarization,2910019529,5,146403970,
Blood cell formation,2909428847,5,201750760,
Primary Motor Areas,2910631677,5,2778373776|2778581513,
Weight-balanced tree,57900377,4,"",52738221
PSMD4,2778696644,5,"",
Pearlfish,2776693805,2,90856448|18903297|505870484,""
Zygopetalinae,2909354687,3,2781370656|71640776|168197293|157369684|58642233,""
Enzyme-linked receptor,75184817,4,170493617,125268873|71931279|201716435|10775765|206412730|18812478
NDUFA4,2776671043,5,123249941,
Early Regeneration,2909671200,2,18903297|141071460|105702510,
YPEL3,2775917443,5,2779523775,
Thymelaea,2777340744,3,"",
Tymovirales,2777895587,5,24432333|41258723|190743605,
Histone methyltransferase complex,2909301515,5,2776745794|150425827|91965660|94966510,
Dermatemydidae,2779745228,4,"",
Enterovirus C,2778351938,5,2910216234,
Active ribosome,2909879443,5,88478588,
Metapodial,2778892983,2,151730666|166957645|105702510,
Cellular component organization,2909097317,5,162317418,
Hyomandibula,2776620753,3,2779300802|140530291|2780550940|111330293,
TFAP2A Gene,2910185799,5,2778222033|36823959,
Pyrus x bretschneideri,2910992574,4,2777845778,
Cyt b6f complex,2908889746,5,101692577|154828652|206865886|96806796,
Polyuridylation,2781097108,5,194993378|142575336|21786251|2191507|41282012,
Blue-fronted amazon,2909668665,4,2910859569,""
Adjusted mutual information,149603505,4,7797323|125969835|124805900|111442797,
Kuehneotherium,2777191769,5,2780932645,
Crangonyx floridanus,2909299187,5,"",
Prolates,2775902988,3,30695634|197807790|57489055,
Stigmatopora nigra,2910832806,4,2777400808,
Nuclear receptor related-1 protein,2776842683,5,63932345|137183658|2779734285,
Espostoa,2779291554,3,2780106946|157369684,
Ephedra californica,2908574271,2,18903297|59822182,
Graphical control element,43741417,3,37789001,
Cytoplasmic part,2909932728,4,170493617|190062978,
FNR regulon,2781142614,5,203075996,
Speed prior,2778103160,2,44154836|65244806,
Mitotic prophase,2910722694,5,70278784|148196450|53226629|45413362,
Demand optimization,2779587099,2,44154836|21547014|42475967,
TF binding,2909667163,5,165864922,
CRISPR Spacers,2909105130,5,44667518,
Oophaga histrionica,2910658928,2,78458016|18903297|90856448,
Imantodes cenchoa,2779995318,3,2781137540,
EPH receptor B2,146258013,5,170286479|42362537|101544691|19331615,
Leg region,2911186419,2,66938386|141071460|105702510,
Kinda baboon,2780897007,5,2909545109,
Synthetic rescue,2779413762,4,121608353,
MLL1 complex,2910705562,5,165864922|150425827|91965660|123894998,
Adhesion belt,2910633288,3,84416704|2779600286,
Atractaspis aterrima,2777113668,2,,
CYP8B1 gene,2909006837,5,2778718757|2993383526|89673097|63932345|2775900799,
Natal multimammate mouse,2910717033,5,2780023225|2777427142,
Published Database,2910678563,2,77088390,
Orientations of Proteins in Membranes database,46528657,5,161200384|115335371|76564549|24530287,
Platelet factor 4 variant 1,2911001815,3,104317684,
Gradient 2,2910629607,5,"",
Close watch,2910281168,2,,
Peripatus solorzanoi,2911044432,3,,
Height increased,2909981498,2,6557445|59822182|144027150,
Disease transmission mode,2909711859,3,,
Genus Bdellovibrio,2910692475,4,42062724|2778702687,
PVI protocol,2910506488,3,,
Genus Tetrasphaera,2909356635,5,2860155,
Impaired N-glycosylation,2909189367,3,,
Rossella levis,2909091905,3,,
Lymph hearts,2780895503,5,2779720271,
Replication fork processing,2909196504,5,94966510|134935766,
Gray commissure,2779611783,4,204232928|2777676563|2779263132|529278444,
Organonitrogen compound metabolic process,2910243638,3,,
UTRome,2778771224,2,54355233|70721500|60644358,
Management science,539667460,1,162324750,2779351106|2985224771|20701700|56814567|11105738|2993526605|72161134|2993885839|173644816|2984645777|63108463|27177047|186116695|174988536|2888476
Simple transposon,120103827,5,51603236|4918238,
Ribonucleoprotein complex assembly,2910487547,4,67705224|34601148,
Apocryptes bato,2780781054,2,18903297|505870484,
MEDLINE,2779473830,3,555293320,2776478404|2778944087|2777466982|2991858568|28804328|2779303530|2781145037|2908815088|119423318|2777522647|2779549880|2910170427
Statistical analysis,2986587452,2,,""
Biological activity,116073593,2,55493867|178790620|71240020,""
Stroke,518460624,3,555293320,2779450755|2777425428|2910648989|2780577055|2778095648|2993454240|2910710179|47177892|2781068581|2910971176|171614378|2991793966|2776184368|2776611634|2986511283|2993714741|2775841333|2993523895|2992793533|2993711813|2993770700|2776882386|2780944724|2779285336|2777217371|2777736543|2776361831|2781012200|2779581417|191616109|2778333808|2778820722|2780931571|2993020023|2776572282|2777118844|2910057982|2776497919
Receptor,170493617,3,555293320,85528070|2780689927|2778988552|40465926|92020748|2781063702|2908929049|202033177|56191518|187345961|2994430510|174510640|147990577|195687474|148001335|102747710|2775954498|163235415|2910956652|2777593968|50442881|33789571|2778423431|2776398474|200170125|46721173|2777371288|139770010|175656101|2776996007|42362537|197462201|120069818|2776885963|118303440|173803235|2778938600|2775908076|168258287|101544691|26375932|38117629|166342909|201571599|127078168|2778703144|19317047|2778458438|67018056|2778597717|103247709|80161118|2776108384|24530287|13373296|100709749|26828662|59493245|187898756|183786373|2779438470|2776552330|2780871563|2777815949|180361614|182704531|136449434|2776219046|15490471|144980905|112592302|2775864247|2777459641|63932345|2776362946|135285700|116569031|2776033226|2779591629|2777427919|2777771985|80631254|2779276759|2778102761|28005876|2777383412
Bandwidth (signal processing),74211669,2,76155785|24326235|119599485,2984132280|7054721|2983340315|2781357197
Fourier transform,102519508,2,134306372|120665830|115704247,2987860518|2992477542|81793267|21809047|49102809|203024314|207864730
Nutrient,142796444,2,18903297|6557445|59822182,2991667719|129230472|2910865015|2993850507|546297234|2778580630|2993893270|164638232|45962647|2779039770|2909063712|2780892065|2780260515|63412515|136682538|2992136107|2994482349|93419950|2993497135|73447217|14522933|167296696|186940473|2985425912|2780662849|2780528068|59167565|2777554254|197371599|2992594128|2776030549|2986870614|186699998|2992973023|180553826|2993506151|2991848694|2910208631|37281782|2992152313|122453247
Membrane,41625074,2,54355233|55493867,23265538|26659971|2778918659|49658373|2992030982|161478664|130316041|2994297994|192157962|182800266|99975950|27239569|145822097|158617107|50254741|2992270614|39944091|156728348|67982717|2908683294|154280991|57581600|2777118752|2779657890|168240541|132215199|2778001312|107511713|207332259|2776870568|189542057|2993727146|45509928|111357860|2779014961|2779012151|2780870201|2993443003|118716|125501631|97380033|2777570114|90424259|2908681542|2992676681|61705674|57947595|2776311245|2778106830|2777658833|2992330834|79123411|2992012372|116871256|2780610907|144647389|107565407|115792997|2780098789|205066982|12927208|155515750|6182249|2780212709|29350253|53163501|122398194|181911157|150193269|4141045|2780727160|30030713|50670333|2779650302
Electric field,60799052,2,49040817|62520636|120665830,50067584|2993296681|2991766977|106825181
Zoology,90856448,1,86803240,2994199040|59726852|2992957956|2992853004|84766238|2777096740|2781348932|2778908745|2780181586|2778033235|2777252438|105083479|137664086|2779965526|47559259|61790302|123575903|131892835|2992687717|2780755047|167954536|2776012404|2779987062|2988014199|2776249982|2776787076|2779999365|188382862|136020623|17458331|179345059|102874275|2992369832|90805937|2779814588|2777907900|172269249|64778439|2778907336|71640776|2992865997|2781015247|2777803996|131155167|2777328355|190612196|2993377508|2992101111|72958200|63644423|2780313869|2778191119|175422226|2910651670|41806617|163528473|34208539|2781465898|46325548|125471540|174763830|58642233|88677689|2779711295|131751744|2780214594|7863114|2777923404|13474642|130981225|2777871726|182880114|165901193|125134236|2780039072|153026981|2776453541|2992910246|2776654248|2780653484|175909808|127745971|17923525|165287380|2780351957|53889494|2779538911|147135968|2781313515|173758957|2776222705|4590074|2778234367
Photochemistry,75473681,1,185592680,96350342|112613896|2778754187|33062035|96765332|123669783|54582936|152365726|2777691172|2779480358|2779539111|122085161|2780898351|187961010|2776416436|15095095|2775856698|75079739|139066938|35753019|2778237882|106447425|50027330|202235601|2780997848|2779255514|2778499038|70050531|2779892579|192468462|2781469039|2780809723
Cytoskeleton,142669718,3,1491633281,2910099337|2994526476|204462481|2910709779|2908705559|2993205527|2909592603|2775995422|2910908830|141073059|50244902|2911029670|2780246058|78383274|2993400109|2911199023|2910917296|2909201330|2781099445|2910105275|2994527677|2781026238|2776861759|133702464|53195969|2780021956|20563397|189040839|72158551|2910644826|90301020|2909908446|2776608609|2779560292|2992973925|2780159980|151460084|2776041460|2776000893|38676607
Immunotherapy,2777701055,4,121608353,2777169287|2778378633|2910723730|2911210142|2780057760|2780851360|2778326572|2776309307|2776662205|169382597|2778212937|2910740169|2781027423|2779695342|2780674031|3875195|2909262454|2780030458|2781433595|2781151996|2910302333
Woody plant,128758860,2,18903297|6557445|59822182,2778819393|103017160|2776457677|2781155726|2908878645|2777945561
Anatomy,105702510,1,86803240|71924100,2779904517|2989316616|2777744392|2776206872|2778937882|2777312293|94487597|2992581678|100094513|2994167347|2780457017|2779973185|8337478|170700871|192536144|105083479|77076574|2778715743|2780723820|2778434673|2776012404|2988014199|196843134|2908736133|2779246727|2776993930|2779652256|2778216619|2778794669|2777085111|34107064|6997183|2779983558|81241287|58207958|78826203|2777236700|2779066085|190041318|545706735|2781087480|2780775167|2777440523|2780105995|122246415|2778500370|27971861|2776673561|2993049371|2780550940|59377437|146562846|87555872|172497186|2781041448|2777216303|107533109|2776511800|2781161787|2777240379|2777786686|88972607|136357698|2776752453|2778357063|163214680|201792869|2781184374|2781437307|165901193|8240015|2778640784|93536670|2778093475|151193507|153026981|2779448229|91762617|2780474809|2780130748|2779300802|103378370|2779753412|2777529286|93877712|2776660947|2778987478|127445978|2780554211|37291498
Angiogenesis,2780394083,4,121608353,2910550787|14858245|2780152582|2909321479|2777169287|2777834122|85219853|106420622|2778608917|2781380885|2781188250|2909846810|2779482015|103041312|2780427682|2776636583|75920679|146285616|2778939058|2776056115|2776309307|2910449015|2778271429|2779944901|2776436680|2778212937|99194444|2776719180|52237779|2781027423|2779094623|31194975|2776871010|97230052|60781801|15215337|2777844972|2777408375|34425596|2910302333
Machine learning,119857082,1,41008148,20701700|2781376004|2776864781|27574286|155846161|197927960|146849305|99476002|64876066|48921125|85617194|739882|49937458|56397880|84839998|126980161|111012933|73555534|191178318|193524817|120567893|169258074|169222746|23224414|144352353|51167844|8398441|152139883|127705205|164752517|12267149|52622490|16012445|119340705|120317606|84525736|153056425|106516650|189508267|2776214188|51823790|31510193|33724603|2985663164|111030470|67257552|50897621|150899416|97541855|67186912|8880873|83665646|161301231|27438332|81363708|183322885|557471498|61656843|70518039|66402592|91998498|125403950|124066611|58166|125583679|50644808|51432778|110083411|75294576|68781425|69738355|61224824|546480517|13926793|58328972|175859090|152877465|142259097|27181475|93959086|44492722|114289077|58489278|163175372|9490382|46686674|82793941|127142870|132480984|184389593|51632099|91682802|161584116|2983946233|148483581
Follicle-stimulating hormone,2779279165,5,2778575703,
Micronutrient,14522933,3,555293320|142796444,2778596745|2776576667
